id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B08HN37XC1,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25",144.88,SanDisk,‎Extreme Portable SSD,2 TB,"Dust Resistant, Water Resistant, Portable, Hardware Encryption","Desktop, Laptop, Tablet",,https://www.amazon.com/SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-4
2,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",79.99,Seagate,‎Basic Portable Drive,2 TB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-3
3,Amazon,monitor,‎B07VS8QCXC,"Seagate Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX5000400), Black",129.86,Seagate,‎Expansion Amazon Exclusive Edition,5 TB,Hardware Encryption,"Desktop, Gaming Console",Plug In,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07VS8QCXC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-5
4,Amazon,monitor,‎B07CRG7BBH,"Seagate Portable 1TB External Hard Drive HDD – USB 3.0 for PC, Mac, PlayStation, & Xbox, 1-Year Rescue Service (STGX1000400) , Black",59.99,Seagate,‎STGX1000400,1 TB,Portable,"Desktop,Laptop,Gaming Console",External Hard Drive,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG7BBH/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-6
5,Amazon,monitor,‎B00IRV005E,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",78.79,LaCie,‎LaCie Rugged Mini,2 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-8
6,Amazon,monitor,‎B07H289S7C,"Seagate BarraCuda 8 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s, 5,400 RPM, 256 MB Cache for Computer Desktop PC (ST8000DMZ04/004)",139.99,Seagate,‎ST8000DMZ04,8 TB,Data Recovery Service,"Desktop, Gaming Console",Internal Hard Drive,https://www.amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07H289S7C/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-10
7,Amazon,monitor,‎B0BHJJ9Y77,"SAMSUNG 990 PRO SSD 2TB NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",185.8,Samsung,‎2TB,2 TB,,"Laptop, Mac, PC",Internal Hard Drive,https://www.amazon.com/SAMSUNG-Internal-Expansion-MZ-V9P2T0B-AM/dp/B0BHJJ9Y77/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-9
8,Amazon,monitor,‎B0CF4SQY1X,"500GB External Hard Drive Ultra Slim Portable HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one,Xbox 360 HD-A4",28.94,Aiolo Innovation,‎IPLCU04RSE,500 GB,Portable,Desktop,External Hard Drive,https://www.amazon.com/Aiolo-Innovation-Portable-External-A4/dp/B0CF4SQY1X/ref=sr_1_11?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-11
9,Amazon,monitor,‎B08GTYFC37,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",114.99,SanDisk,‎SanDisk Extreme Portable SSD,1 TB,"Water-resistant,dust-resistant,Portable","Desktop, Laptop, Tablet",,https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_13?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-13
10,Amazon,monitor,‎B0CF51H23P,"1TB External Hard Drive Ultra Slim Portable HDD-USB 3.0 USB-C for PC, Mac, Laptop, PS4, Xbox one,Xbox 360",51.11,Aiolo Innovation,‎A4,1 TB,Portable,Desktop,External Hard Drive,https://www.amazon.com/Aiolo-Innovation-Portable-External-A4/dp/B0CF51H23P/ref=sr_1_14?dib=eyJ2IjoiMSJ9.EoJi2KGtyKkHzukpwyJrsjnHRGSuro7hg0szIy9lzips0dXo25U4gjNtPhqdYx7tNeB8iL17MoDBvJqi5B_ongFJDHuuAk7-ev-kdWP4r3KcS3opB6z1IouV30P5hHY6fV2Nc-39qUeqFP1iNHlW6oEXuXQnK71usFxlv6eNhy1XRIyypf8sp7V1szg703QSy0WAQoaAj2sBD2_ZihEF0umWb8CD0e6xY8-wD7YxJLs.ycY5Gj9vXlnkfhRHiiE0596KOUAoGHhqE8EL0yW7tKY&dib_tag=se&keywords=hard+drive&qid=1762901509&sr=8-14
