id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0DZQCTH92,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 128 GB SSD, AMD Radeon Graphics, Windows 11 Home in S Mode, Natural Silver, 15- fc0099nr",299.99,HP,HP Laptop 15-fc0099nr,‎128 GB 128 GB PCIe NVMe M.2 SSD,‎LPDDR5,‎1366 x 768 pixels,‎Natural silver,https://www.amazon.com/HP-Touchscreen-Display-Graphics-fc0099nr/dp/B0DZQCTH92/ref=sr_1_1?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-1
2,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",173.49,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_2?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-2
3,Amazon,laptop,B0FFN2DMLD,"Lenovo 15.6"" Laptop Computer for Home Business Student, Intel Dual-Core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6, Bluetooth 5.2, HDMI, Cloud Grey, Windows 11 Pro S, Tichang Type C to RJ45 Cable",449.0,Lenovo,IdeaPad,‎1 TB SSD,‎32 GB DDR4,‎1366 x 768 pixels,‎Cloud Grey,https://www.amazon.com/Lenovo-Computer-Dual-Core-Processor-Bluetooth/dp/B0FFN2DMLD/ref=sr_1_3?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-3
4,Amazon,laptop,B0CWHYV27D,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Military Grade Durability, Black, E1504FA-AS33",296.69,ASUS,Vivobook Go,‎128 GB SSD,‎8 GB LPDDR5,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/ASUS-Vivobook-Laptop-Windows-E1504FA-AS33/dp/B0CWHYV27D/ref=sr_1_4?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-4
5,Amazon,laptop,B0CZKPF2QH,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",309.0,HP,HP Stream,‎128 GB Emmc,‎16 GB DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Stream-BrightView-N4120-Graphics/dp/B0CZKPF2QH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-5
6,Amazon,laptop,‎B0DZD9S5GC,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",849.0,Apple,MacBook Air,,,,,https://www.amazon.com/Apple-2025-MacBook-13-inch-Laptop/dp/B0DZD9S5GC/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-6
7,Amazon,laptop,B0FDQ775FY,"15.6"" FHD IPS Student-Laptop Computer - 16GB RAM 1TB SSD, 4 Cores 13th Gen Intel N150(Beat to i3-1115G4, Up to 3.6GHz), 65W GaN Type-C, Fingerprint, Backlit Keyboard, Wi-Fi 6, BT5.2, Numpad",349.99,NIMO,Nimo N157,‎1 TB SSD,‎16 GB DDR4,‎1920 x 1080 pixels,‎Blue,https://www.amazon.com/15-6-FHD-IPS-Student-Laptop-Computer/dp/B0FDQ775FY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-7
8,Amazon,laptop,B0BSJ46KY9,"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",175.55,Lenovo,IdeaPad 3,‎64 GB Emmc,‎8 GB LPDDR4X,‎1920 x 1080 pixels,‎Blue,https://www.amazon.com/Lenovo-3i-Chromebook-Everyday-Notebook/dp/B0BSJ46KY9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-8
9,Amazon,laptop,B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",174.98,HP,Chromebook 14a-na0226nr,‎64 GB SSD,‎4 GB DDR4,‎1366 x 768,‎Mineral Silver,https://www.amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-9
10,Amazon,laptop,B0CRDCW3Q3,"ASUS 15.6” Vivobook Go Slim Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11, Star Black, L510KA-ES04",179.99,ASUS,L510KA-ES04,‎SSD,‎4 DDR4,‎1366 x 768 pixels,‎Star Black,https://www.amazon.com/ASUS-Vivobook-Celeron-Windows-L510KA-ES04/dp/B0CRDCW3Q3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EH355rBgTzYxGSLf8njt4SAuBS0EempMTtPrdg9yXVRg8rHWSoEIQ07-UgR-FfB7dq5voFY85CXwcgkDx5ASkSOzWGcdV9Bv-fUEO57wY4a6lqQsiDJae-jxj43pK5yHoRW1IqaeL1ynU5JjEOAb_X9OjuNS03qWQ9o0dyF_I3I7BzqhYA9Zmd-ShXYuLHTG-4wMA9qs6HynMCW8slqJ7yggQc-cS28K180evJW1TBI.pBF4rT7jtq543LnGM0Yvcy5PZXDm85KrKo2O8BLaqIE&dib_tag=se&keywords=laptop&qid=1753485003&sr=8-10
