id,website,category,asin,title,price,brand,screen_size,display_quality,screen_surface,screen_resolution,link
104,Amazon,monitor,,,,,,,,,https://www.amazon.com/WGK-Portable-Monitor-15-6-inch-Kickstand/dp/B0DCYBR34X/ref=sr_1_109?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-109
105,Amazon,monitor,,,,,,,,,https://www.amazon.com/SAMSUNG-Monitor-Display-Samsung-LS32FM803UNXZA/dp/B0F5VR52WZ/ref=sr_1_111?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-111
106,Amazon,monitor,,,,,,,,,https://www.amazon.com/SAMSUNG-ViewFinity-Resolution-DisplayPort-LS32D806EANXGO/dp/B0D4ZNF5LT/ref=sr_1_110?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-110
107,Amazon,monitor,,,,,,,,,https://www.amazon.com/SAMSUNG-Compatible-DisplayHDR-TrueBlack-LS27FG602SNXZA/dp/B0FJYRV9TK/ref=sr_1_112?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-112
108,Amazon,monitor,,,,,,,,,https://www.amazon.com/Amzfast-Monitor-Computer-Support-Adaptive/dp/B0FCXZ3PTJ/ref=sr_1_113?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-113
109,Amazon,monitor,,,,,,,,,https://www.amazon.com/SAMSUNG-DisplayHDR-FreeSyncTM-Compatibile-LS32FG810SNXZA/dp/B0DY2YQ439/ref=sr_1_115?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-115
110,Amazon,monitor,,,,,,,,,https://www.amazon.com/ARZOPA-Portable-Kickstand-External-Switch-Z1FC/dp/B0CH9WTW56/ref=sr_1_114?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-114
111,Amazon,monitor,,,,,,,,,https://www.amazon.com/INNOCN-DisplayPort-Surrounding-Adaptive-Sync-Adjustable/dp/B0DD2ZB3DZ/ref=sr_1_116?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-116
112,Amazon,monitor,,"INNOCN 45C1R 45 Inch 5120 x 1440p Ultrawide Curved Gaming Monitor, R1500, HDR400, USB Type-C Power Delivery, PIP/PBP, Built-in Speaker, Height Adjustable, Black",574.99,INNOCN,45 Inches,5120 x 1440p,Matte,,https://www.amazon.com/INNOCN-Ultrawide-Monitor-Delivery-Adjustable/dp/B0C595Y7CT/ref=sr_1_117?dib=eyJ2IjoiMSJ9.-LSgTRJ13aEJHxt670qVJtCK08j7voSI14DDPq5d92TpsKGNFGAc-Z6M-Lil4vWvpmIK-984xqDM30KbpYduTgC-9KW3uWUMiDPkd8CT2tftQh0rBp1FhlNZWlXC2dwhGCwfbEcgFSkbKFOQpI66XZn63CMvbQFTl-DYT2MpzRMdbt4L9n2pfjmbICm9o4hpQLh822yWYqb9s-cNFVFHK_BfRISbaNUhe-xgtKfxTw4.rh6B9e9oHqZAlCCzww7kUzyC3zzhR7AMl-XnI8mEU9U&dib_tag=se&keywords=monitor&qid=1760053815&sr=8-117
113,Amazon,monitor,,,,,,,,,https://www.amazon.com/SAMSUNG-Mini-LED-FreeSync-Adjustable-LS55CG970NNXGO/dp/B0CDQKYXTC/ref=sr_1_115?dib=eyJ2IjoiMSJ9.OkHE_s5OxkzhAUjinL1pE7P-DUX4l6S9n4cJ9kTnvoP5ko1f24zKVwANuT9GLENEe4IH7mN8s4fzoHSiW5oiOIWE--mO1Yb1u8e0vLXVcVVzWW5ldazFKAWGgOZXApYC3I90r5Uqwq6Yoa2ZLyspNNmJG3eot5-L-DgW1UAEo6HFgnVH7qtpSHDMMrOaRLDKOoucItgg0nls7WJyWlkhGvBfRISbaNUhe-xgtKfxTw4.PV-0wqocDJru_QvV8TrIinGXKHnjHizol1uHPGm2DEA&dib_tag=se&keywords=monitor&qid=1760053819&sr=8-115
