id,website,category,ASIN_number,title,price,brand,model_name,memory_storage,ram,color,link
1,Amazon,Phones,B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,39.88,MOTOROLA INC,Moto G Play,4 GB,4 GB,BLUE,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-1
2,Amazon,Phones,B09LNP1ZHT,"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",299.0,No,iPhone 13,128 GB,4 GB,Pink,https://www.amazon.com/Apple-iPhone-13-128GB-Pink/dp/B09LNP1ZHT/ref=sr_1_2?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-2
3,Amazon,Phones,B0CWHXVLXG,Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,149.99,Motorola,Moto G 5G 2024,128 GB,4 GB,Sage Green,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-3
4,Amazon,Phones,B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",49.99,‎Panasonic,,,,‎Metallic Black,https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZG14KFJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-4
5,Amazon,Phones,B0CP6DDN1H,Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,109.99,Motorola,Moto G Play 2024,64 GB,4 GB,Sapphire Blue,https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_5?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-5
6,Amazon,Phones,B086QCGQ8C,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",67.95,‎AT&T,,,,‎Silver/Black,https://www.amazon.com/AT-BL102-3-3-Handset-Answering-Unsurpassed/dp/B086QCGQ8C/ref=sr_1_6?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-6
7,Amazon,Phones,B0CSB22F9C,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",172.5,Samsung,,128 GB,6 GB,Light Blue,https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB22F9C/ref=sr_1_7?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-7
8,Amazon,Phones,B0DJ9KYK9G,J24 | 2024 | All-Day Battery | GSM Unlocked | 6.5” Display | 3/32GB | 3000mAh | US Version | US Warranty | Black,49.99,Votex Cellular,J24,32 GB,3 GB,Black,https://www.amazon.com/Vortex-J24-All-Day-Unlocked-Warranty/dp/B0DJ9KYK9G/ref=sr_1_8?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-8
9,Amazon,Phones,B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",72.99,Samsung Electronics,SM-A037U,32 GB,3 GB,Black,https://www.amazon.com/Samsung-Unlocked-Smartphone-Expandable-Infinite/dp/B09SM24S8C/ref=sr_1_9?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-9
10,Amazon,Phones,B0CTW6L4R5,Simple Mobile | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,39.88,MOTOROLA INC,Moto G Play,4 GB,4 GB,BLUE,https://www.amazon.com/Simple-Mobile-Motorola-5000mAh-Sapphire/dp/B0CTW6L4R5/ref=sr_1_10?dib=eyJ2IjoiMSJ9.gv4bjneIp8E5hx8sGN6WUBwD7HM5BVJBnyLfC-1L7m8Las0QhGqfp1kUMZq9Oi99HiuC5T-nblNVIe9b3Pp0jOEKionGbUqN4ZZ4z5400IT7tHH7cqLw4PJe_HD4ET7nhHf_HKbKCTpkmQD_1pKYt0VmW4unqc2cWXtUO3LBjfeViN-Uw1loRshRVu0jR5Ov5EwF86FA6P_pmL2DAOH7fyJzdRaOaiaLcDdJ3TnqxHc.WXypfdpTi8CBGpMXdxh4vrVDrXP7qUgifHYETs8fVg8&dib_tag=se&keywords=phone&qid=1742081844&sr=8-10
